ID,Mcore,err_Mcore,Tcore,Size
20kms~cloud_211,3.19,1.59,,2280
20kms~cloud_212,3.84,1.92,,1200
20kms~cloud_213,16.12,8.06,,2430
20kms~cloud_214,0.15,0.07,85.3,1040
20kms~cloud_215,1.58,0.79,186.3,2380
20kms~cloud_216,4.93,2.46,,1080
20kms~cloud_217,0.39,0.20,,1200
20kms~cloud_218,2.43,1.22,71.1,1430
20kms~cloud_219,0.71,0.35,87.1,1490
20kms~cloud_220,20.29,10.14,,3380
20kms~cloud_221,0.88,0.44,,1610
20kms~cloud_222,1.69,0.84,,1540
20kms~cloud_223,27.72,13.86,,3880
20kms~cloud_224,3.91,1.96,,1580
20kms~cloud_225,0.73,0.36,,1280
20kms~cloud_226,1.43,0.71,,1170
20kms~cloud_227,2.27,1.14,,2000
20kms~cloud_228,1.50,0.75,,1570
20kms~cloud_229,5.98,2.99,,2270
20kms~cloud_230,0.61,0.30,,1280
20kms~cloud_231,7.36,3.68,,3110
20kms~cloud_232,3.92,1.96,,2490
20kms~cloud_234,5.92,2.96,,2240
20kms~cloud_235,1.43,0.71,,1310
20kms~cloud_236,0.65,0.33,,1460
20kms~cloud_237,2.71,1.35,,2250
20kms~cloud_238,0.81,0.41,96.8,2430
20kms~cloud_239,1.30,0.65,,1200
20kms~cloud_240,0.58,0.29,,1060
20kms~cloud_241,2.32,1.16,114.7,3910
20kms~cloud_242,0.38,0.19,87.9,1590
20kms~cloud_243,0.61,0.30,,1410
20kms~cloud_244,1.04,0.52,,1490
20kms~cloud_245,1.44,0.72,,2120
20kms~cloud_246,0.43,0.21,,1240
20kms~cloud_247,0.55,0.28,54.3,2390
20kms~cloud_248,1.42,0.71,,1650
20kms~cloud_249,2.55,1.27,,1730
20kms~cloud_250,1.78,0.89,,1780
20kms~cloud_251,0.67,0.34,,1450
20kms~cloud_252,2.59,1.29,,2580
20kms~cloud_253,0.56,0.28,,1430
20kms~cloud_254,0.91,0.46,,1370
